id;Suburb;BoxCode;StreetCode;Area
1;AALWYNFLEUR;;6670;RIVERSDALE
2;AANDRUS;;9301;BLOEMFONTEIN
3;ABAPHEHLI;4126;;DOONSIDE
4;ABBOTSDALE;;7300;MALMESBURY
5;ABBOTSFORD;5210;5241;EAST LONDON
6;ABBOTSFORD;;2192;JOHANNESBURG
7;ABBOTSPOORT;0608;;POTGIETERSRUS
8;ABC;;6242;KWANOBUHLE
9;ABEL;0884;;POLOKWANE
10;ABERDEEN;6270;6270;ABERDEEN
11;ABERDEEN TSP;;6270;ABERDEEN
12;ABERDEEN DGD;;6270;ABERDEEN
13;ACACIAVILLE;3370;3370;LADYSMITH
14;ACKERVILLE;1039;1039;WITBANK
15;ACORN;;3610;PINETOWN
16;ACORNHOEK;1360;1360;NELSPRUIT
17;ACTIVIA PARK;;1429;GERMISTON
18;ACTON CABA;5401;;TSOMO
19;ACTON HOMES;3352;;BERGVILLE
20;ACTONVILLE;1506;1501;BENONI
21;ACTONVILLE EXT 1;;1501;BENONI
22;ACTONVILLE UIT 1;;1501;BENONI
23;ACTONVILLE EXT 2;;1501;BENONI
24;ACTONVILLE UIT 2;;1501;BENONI
25;ACTONVILLE EXT 3;;1501;BENONI
26;ACTONVILLE UIT 3;;1501;BENONI
27;ACTONVILLE EXT 4;;1501;BENONI
28;ACTONVILLE UIT 4;;1501;BENONI
29;ACTONVILLE EXT 5;;1501;BENONI
30;ACTONVILLE UIT 5;;1501;BENONI
31;ACTONVILLE EXT 6;1506;1501;BENONI
32;ACTONVILLE UIT 6;1506;1501;BENONI
33;ADAMAYVIEW;;2571;KLERKSDORP
34;ADAMS MISSION;4100;4110;AMANZIMTOTI
35;ADCOCKVALE;;6001;PORT ELIZABETH
36;ADCOCKVALE EXT;;6045;NEWTON PARK
37;ADCOCKVALE UIT;;6045;NEWTON PARK
38;ADDINGTON;;4001;DURBAN
39;ADDNEY;0712;;POLOKWANE
40;ADDO;6105;6105;ADDO
41;ADELAIDE;5760;5760;ADELAIDE
42;ADENDORP;6282;6282;ADENDORP
43;ADKIN'S POST;5170;;TSOLO
44;ADMINISTRATION BLOCK;;1431;KATLEHONG
45;ADMINISTRASIE BLOK;;1431;KATLEHONG
46;ADMIRALS HILL;;7798;STRANDFONTEIN
47;ADRIAANSE;;7490;MATROOSFONTEIN
48;ADVENT;5092;5092;MOUNT FRERE
49;AERORAND;1070;1055;MIDDELBURG
50;AERORAND WEST;1070;1055;MIDDELBURG
51;AERORAND-WES;1070;1055;MIDDELBURG
52;AEROTON;2013;2190;JOHANNESBURG
53;AEROVILLE;;5850;SOMERSET EAST
# 54;AFGHANISTAN EXT 25;2280;2280;EVANDER
# 55;AFGHANISTAN UIT 25;2280;2280;EVANDER
56;AFGUNS;0534;0534;ELLISRAS
57;AFRICA;4310;4309;INANDA
58;AFRICAN ENTERPRISE;3294;;PIETERMARITZBURG
59;AGAVIA;;1739;KRUGERSDORP
60;AGGENEYS;8893;;SPRINGBOK
61;AGINCOURT;1368;;XIMHUNGWE
62;AGISANANG;2760;2760;SANNIESHOF
63;AGNES REST;5435;;DORDRECHT
64;AGTER-PAARL;7630;;PAARL
65;AGULHAS;7287;7287;BREDASDORP
66;AIKEN STREET;4251;;PORT SHEPSTONE
67;AIKENSTRAAT;4251;;PORT SHEPSTONE
68;AIRDLIN;2157;;JOHANNESBURG
69;AIRFIELD;;1501;BENONI
70;AIRLIE;;7806;CONSTANTIA
71;AIRPORT CITY;;7490;MATROOSFONTEIN
72;LUGHAWE STAD;;7490;MATROOSFONTEIN
